City,DirectWikimediaImageURL
Surat,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Bharthana_Althan_area.jpg/1280px-Bharthana_Althan_area.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Bhuj,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Pragmahal_Bhuj_Kutch_Gujarat.jpg/1280px-Pragmahal_Bhuj_Kutch_Gujarat.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Statue of Unity,EMPTY
Saputara,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Lake_Saputara.jpg/1280px-Lake_Saputara.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Junagadh,EMPTY
Jamnagar,EMPTY
Bhavnagar,EMPTY
Gandhinagar,EMPTY
Porbandar,EMPTY
Anand,EMPTY
Silvassa,EMPTY
